type	latitude	longitude	altitude	name	desc
T	46.184380000	-123.862850000	17.5	Directions from Astoria, OR  to University of Montana dorm, Missoula, MT	
T	46.184330000	-123.862710000	17.8		
T	46.183830000	-123.861850000	13.3		
T	46.183820000	-123.861810000	13.1		
T	46.183830000	-123.861760000	13.8		
T	46.183850000	-123.861720000	14.6		
T	46.184400000	-123.861330000	16.5		
T	46.184410000	-123.861310000	16.5		
T	46.184710000	-123.861010000	19.0		
T	46.185110000	-123.860510000	17.9		
T	46.185110000	-123.860500000	17.9		
T	46.185270000	-123.860250000	17.5		
T	46.185540000	-123.859650000	17.7		
T	46.185460000	-123.859570000	17.5		
T	46.184970000	-123.858720000	31.4		
T	46.184890000	-123.858930000	31.6		
T	46.184720000	-123.859260000	27.1		
T	46.184600000	-123.859440000	31.1		
T	46.184370000	-123.859670000	29.6		
T	46.184240000	-123.859750000	29.4		
T	46.184230000	-123.859750000	29.3		
T	46.184110000	-123.859800000	27.7		
T	46.183670000	-123.859890000	24.7		
T	46.183550000	-123.859930000	24.1		
T	46.183360000	-123.860070000	23.6		
T	46.183220000	-123.860280000	25.2		
T	46.183180000	-123.860410000	25.6		
T	46.183170000	-123.860560000	26.2		
T	46.183140000	-123.860700000	27.2		
T	46.183150000	-123.860710000	27.1		
T	46.183140000	-123.860740000	27.2		
T	46.183140000	-123.860800000	27.3		
T	46.183090000	-123.860920000	27.6		
T	46.183070000	-123.860930000	27.6		
T	46.183040000	-123.860970000	27.6		
T	46.183000000	-123.860990000	27.2		
T	46.182910000	-123.861000000	27.3		
T	46.182890000	-123.860990000	27.3		
T	46.182870000	-123.860990000	27.2		
T	46.182850000	-123.860980000	27.1		
T	46.182790000	-123.860920000	26.9		
T	46.182750000	-123.860850000	26.6		
T	46.182570000	-123.860670000	23.5		
T	46.182370000	-123.860550000	21.1		
T	46.182120000	-123.860490000	17.3		
T	46.182050000	-123.860420000	19.9		
T	46.181840000	-123.860350000	19.9		
T	46.181740000	-123.860260000	17.7		
T	46.181510000	-123.860130000	18.8		
T	46.181500000	-123.860110000	18.7		
T	46.181330000	-123.859970000	16.8		
T	46.180960000	-123.859550000	18.2		
T	46.180690000	-123.859160000	17.0		
T	46.173730000	-123.846270000	17.9		
T	46.173510000	-123.845770000	22.4		
T	46.173440000	-123.845530000	19.4		
T	46.173370000	-123.845150000	18.6		
T	46.173320000	-123.843610000	20.0		
T	46.173330000	-123.843520000	21.0		
T	46.173260000	-123.840460000	44.2		
T	46.173300000	-123.839970000	47.5		
T	46.173190000	-123.832410000	15.4		
T	46.173180000	-123.832410000	15.2		
T	46.173170000	-123.831750000	15.4		
T	46.172800000	-123.826770000	14.4		
T	46.172700000	-123.826010000	17.5		
T	46.171490000	-123.822250000	17.8		
T	46.171420000	-123.821940000	22.5		
T	46.171380000	-123.821450000	26.8		
T	46.171350000	-123.816120000	11.1		
T	46.171310000	-123.815430000	17.4		
T	46.171210000	-123.814780000	19.0		
T	46.171040000	-123.814080000	18.9		
T	46.170680000	-123.813180000	17.0		
T	46.170520000	-123.812880000	9.0		
T	46.170040000	-123.812210000	12.0		
T	46.169680000	-123.811840000	13.0		
T	46.169290000	-123.811540000	19.1		
T	46.168890000	-123.811330000	21.8		
T	46.168080000	-123.811070000	15.3		
T	46.167010000	-123.810870000	19.4		
T	46.167010000	-123.810860000	19.5		
T	46.166380000	-123.810730000	30.0		
T	46.166370000	-123.810720000	30.3		
T	46.165760000	-123.810640000	34.4		
T	46.164810000	-123.810670000	28.1		
T	46.164410000	-123.810630000	29.3		
T	46.164390000	-123.810620000	29.8		
T	46.164370000	-123.810620000	29.8		
T	46.164060000	-123.810520000	26.3		
T	46.163750000	-123.810340000	29.5		
T	46.163490000	-123.810120000	30.5		
T	46.163210000	-123.809810000	31.1		
T	46.162960000	-123.809440000	26.4		
T	46.162950000	-123.809440000	25.9		
T	46.162840000	-123.809260000	24.1		
T	46.162840000	-123.809250000	24.5		
T	46.162700000	-123.809000000	27.8		
T	46.162700000	-123.808990000	28.0		
T	46.161830000	-123.807310000	16.0		
T	46.161590000	-123.806950000	12.7		
T	46.161460000	-123.806810000	12.5		
T	46.161450000	-123.806790000	12.1		
T	46.161250000	-123.806620000	11.6		
T	46.161070000	-123.806500000	10.9		
T	46.160630000	-123.806340000	8.0		
T	46.159420000	-123.806200000	11.1		
T	46.159160000	-123.806110000	7.3		
T	46.158880000	-123.805950000	9.8		
T	46.158610000	-123.805700000	8.6		
T	46.158290000	-123.805250000	9.1		
T	46.155710000	-123.800880000	51.7		
T	46.155160000	-123.800100000	54.8		
T	46.154740000	-123.799620000	54.5		
T	46.154280000	-123.799190000	43.8		
T	46.152510000	-123.797840000	10.0		
T	46.151560000	-123.797200000	12.4		
T	46.151190000	-123.796990000	12.4		
T	46.150810000	-123.796860000	12.1		
T	46.150580000	-123.796850000	12.6		
T	46.150340000	-123.796880000	12.1		
T	46.150050000	-123.796970000	10.5		
T	46.150040000	-123.796980000	10.6		
T	46.149960000	-123.797010000	11.5		
T	46.149630000	-123.797220000	11.5		
T	46.149320000	-123.797500000	14.6		
T	46.147630000	-123.799430000	24.0		
T	46.147180000	-123.799850000	30.0		
T	46.146900000	-123.800040000	33.5		
T	46.145480000	-123.800710000	44.7		
T	46.144930000	-123.801020000	51.4		
T	46.143940000	-123.801780000	63.6		
T	46.142180000	-123.803320000	60.4		
T	46.141990000	-123.803520000	58.4		
T	46.141020000	-123.804830000	29.5		
T	46.140760000	-123.805250000	15.5		
T	46.140700000	-123.805420000	20.5		
T	46.140690000	-123.805490000	21.1		
T	46.140670000	-123.805530000	22.0		
T	46.140610000	-123.806080000	30.5		
T	46.140450000	-123.806730000	36.4		
T	46.140320000	-123.807030000	39.6		
T	46.140200000	-123.807230000	38.7		
T	46.139820000	-123.807620000	37.2		
T	46.139320000	-123.808030000	38.6		
T	46.139130000	-123.808150000	42.0		
T	46.138960000	-123.808200000	43.7		
T	46.138790000	-123.808190000	44.7		
T	46.138630000	-123.808150000	45.4		
T	46.138430000	-123.808050000	44.9		
T	46.138280000	-123.807950000	44.0		
T	46.138260000	-123.807950000	43.7		
T	46.137970000	-123.807750000	36.9		
T	46.137800000	-123.807660000	36.4		
T	46.136950000	-123.807380000	20.3		
T	46.134620000	-123.807030000	11.4		
T	46.134020000	-123.806990000	9.3		
T	46.133220000	-123.806990000	7.6		
T	46.132220000	-123.807070000	11.5		
T	46.131310000	-123.807090000	11.9		
T	46.130310000	-123.807330000	10.8		
T	46.130140000	-123.807350000	10.7		
T	46.129710000	-123.807340000	11.2		
T	46.129400000	-123.807300000	10.2		
T	46.128860000	-123.807180000	11.0		
T	46.128520000	-123.807070000	24.1		
T	46.128410000	-123.807010000	27.7		
T	46.128210000	-123.806840000	31.4		
T	46.128100000	-123.806650000	31.3		
T	46.128020000	-123.806440000	34.2		
T	46.127490000	-123.804180000	60.5		
T	46.126800000	-123.802080000	81.5		
T	46.126670000	-123.801580000	84.2		
T	46.126410000	-123.799940000	78.9		
T	46.126300000	-123.799700000	77.5		
T	46.126300000	-123.799690000	77.9		
T	46.125960000	-123.799190000	82.0		
T	46.125950000	-123.799190000	81.8		
T	46.125890000	-123.799070000	81.0		
T	46.125890000	-123.799060000	81.0		
T	46.125510000	-123.798150000	72.2		
T	46.125480000	-123.798120000	72.1		
T	46.125220000	-123.797670000	71.4		
T	46.124260000	-123.795750000	62.8		
T	46.123990000	-123.795440000	62.8		
T	46.122060000	-123.794020000	58.2		
T	46.121850000	-123.793830000	57.7		
T	46.121520000	-123.793440000	58.4		
T	46.119930000	-123.791040000	58.5		
T	46.119790000	-123.790880000	57.7		
T	46.119670000	-123.790790000	58.3		
T	46.119370000	-123.790690000	60.1		
T	46.118030000	-123.790500000	56.3		
T	46.117780000	-123.790360000	56.5		
T	46.117660000	-123.790270000	56.0		
T	46.105460000	-123.774530000	136.1		
